lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
163.1901112285,-77.0344397462,ROB4,igs08,ant,9.078,-11.863,0.124,0.123,9.015,-11.64,0.0,0.063,-0.223
-59.4446301745,-65.2464996309,ROBN,igs08,ant,15.809,8.186,0.272,0.289,13.028,11.469,0.0,2.781,-3.283
-68.1268661429,-67.5713188895,ROTB,igs08,ant,14.909,9.414,0.413,0.651,13.865,10.707,0.0,1.044,-1.293
-68.1257734497,-67.5713878192,ROTH,igs08,ant,14.923,9.653,0.176,0.242,13.865,10.708,0.0,1.058,-1.055
166.75802195,-77.8489864849,SCTB,igs08,ant,9.337,-11.265,0.148,0.154,9.438,-11.343,0.0,-0.101,0.078
-125.974573583,-77.1353126606,SDLY,igs08,ant,19.441,1.249,0.182,0.202,16.809,0.354,0.0,2.632,0.895
-61.7216410592,-65.5570299309,SGP1,igs08,ant,13.392,8.406,0.332,0.448,13.337,11.298,0.0,0.055,-2.892
-63.5880447723,-65.9413651191,SGP3,igs08,ant,12.258,9.909,0.736,0.643,13.552,11.148,0.0,-1.294,-1.239
-62.4601921369,-66.6859677231,SGP4,igs08,ant,13.06,9.871,0.388,0.422,13.13,11.256,0.0,-0.07,-1.385
-64.8905697114,-67.2819744563,SGP5,igs08,ant,14.085,11.138,0.374,0.412,13.384,11.038,0.0,0.701,0.1
-113.8795504332,-75.0981564636,SLTR,igs08,ant,13.809,13.843,0.4,0.402,17.09,2.956,0.0,-3.281,10.887
-67.1032246177,-68.1296812873,SMR5,igs08,ant,14.931,10.282,0.181,0.237,13.519,10.818,0.0,1.412,-0.536
-61.0519860062,-64.2947282143,SPGT,igs08,ant,14.918,12.17,0.198,0.287,13.6,11.282,0.0,1.318,0.888
-56.995859187,-63.3951199146,SPRZ,igs08,ant,15.706,10.174,0.301,0.376,13.184,11.564,0.0,2.522,-1.39
77.53137117789998,-38.714341558,SPT2,igs08,ant,14.916,-4.675,1.013,0.515,9.325,-5.288,0.0,5.591,0.613
-86.2472947489,-84.1870149824,STEW,igs08,ant,11.049,8.456,0.225,0.219,11.425,8.224,0.0,-0.376,0.232
-72.1801297582,-75.2806046355,SUGG,igs08,ant,11.582,10.202,0.34,0.387,12.171,10.244,0.0,-0.589,-0.042
39.583743076799976,-69.0069571435,SYOG,igs08,ant,-4.039,3.047,0.13,0.144,-3.818,2.763,0.0,-0.221,0.284
-28.3189073717,-79.1266885716,THRO,igs08,ant,2.391,12.137,0.213,0.254,1.988,12.279,0.0,0.403,-0.142
-97.5595999175,-72.5300654795,THU6,igs08,ant,15.609,2.786,0.19,0.229,16.587,6.234,0.0,-0.978,-3.448
164.1029429731,-74.6988059197,TNB1,igs08,ant,10.254,-11.485,0.154,0.161,9.979,-11.569,0.0,0.275,0.084
164.1028070951,-74.698924572,TNB2,igs08,ant,10.033,-11.575,0.185,0.175,9.979,-11.569,0.0,0.054,-0.006
